Type: ,game
Name: ,Anti-Sane
Steam AppID: ,2134960
Required Age: ,0
Is Free: ,False
Detailed Description: ,This game is really short (about 30 minutes)What is this forgotten world?You are lost in scary and beautiful universe. Try to stay sane among weird creatures and mysterious places. smart puzzles with ability to possess other objects dark soundtrack adorable pixel artDon't be afraid to be alone. Be afraid to walk around these nightmare beings.
About the Game: ,This game is really short (about 30 minutes)What is this forgotten world?You are lost in scary and beautiful universe. Try to stay sane among weird creatures and mysterious places. smart puzzles with ability to possess other objects dark soundtrack adorable pixel artDon't be afraid to be alone. Be afraid to walk around these nightmare beings.
Short Description: ,You are lost in scary and beautiful universe. Try to stay sane among weird creatures and mysterious places.
Supported Languages: ,영어
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/header.jpg?t=1693252111
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/capsule_231x87.jpg?t=1693252111
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/capsule_184x69.jpg?t=1693252111
Website: ,N/A
PC Minimum Requirements: ,최소:운영 체제 : Windows 7메모리: 200 MB RAM저장공간: 100 MB 사용 가능 공간
Developers: ,Fewjix
Publishers: ,Fewjix
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,싱글 플레이어,Steam 도전 과제,컨트롤러 완벽 지원,Steam Cloud,
Genres: ,어드벤처,인디,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/ss_ac1c06142b26fe8d8241f54882c3e95581aac1d2.600x338.jpg?t=1693252111
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/ss_ac1c06142b26fe8d8241f54882c3e95581aac1d2.1920x1080.jpg?t=1693252111
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/ss_fb7283035722a75b89b638218596f59749770eee.600x338.jpg?t=1693252111
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/ss_fb7283035722a75b89b638218596f59749770eee.1920x1080.jpg?t=1693252111
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/ss_a46271ddc3f347130d1e2a80e97fc99de8e2cbcc.600x338.jpg?t=1693252111
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/ss_a46271ddc3f347130d1e2a80e97fc99de8e2cbcc.1920x1080.jpg?t=1693252111
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/ss_845809f52a50544df03c7e6687567ee98a7fba9d.600x338.jpg?t=1693252111
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/ss_845809f52a50544df03c7e6687567ee98a7fba9d.1920x1080.jpg?t=1693252111
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/ss_68a04ea656bb7f14046521182e5ade5c777f6242.600x338.jpg?t=1693252111
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134960/ss_68a04ea656bb7f14046521182e5ade5c777f6242.1920x1080.jpg?t=1693252111

