Type: ,game
Name: ,Desktop Basketball
Steam AppID: ,2134430
Required Age: ,0
Is Free: ,False
Detailed Description: ,간단한 조작으로 농구를 즐기자!  문구류 공장 놀이공원 등 책상 위에 만들어진 다양한 무대가 등장!  나만의 커스터마이징으로 최강의 오리지널 팀을 만들자!    【연습 경기】  혼자서 간편하게 경기를 즐기자!  3인제 5인제 선택 가능. 많이 놀고 조작이나 규칙을 외우자!    【친구 대전】  최대 4명이서 대전 및 협력 플레이 가능!  일반 코트부터 기믹이 가득한 특수 코트까지 다양한 무대가 등장!  잘 이용해 대전 상대와 차이를 만들자!    【팀 편성】  선수는 아이템을 사용한 상태 향상이나 개별적으로 스타일을 커스터마이징 가능! 유니폼과 조합해서 오리지널 마이팀을 만들자.    【토너먼트】  챔피언컵에 참전하자! 만만치 않은 라이벌을 누르고 우승을 노려라!    【캡슐 슛】  각 모드에서 획득한 포인트를 사용하여 새로운 포메이션이나 유니폼을 입수하자! 레어 아이템으로 한층 더 팀을 강화!    【기대된다】  포인트 슈터 도전!  정확한 슛으로 포인트 대량 획득하자!
About the Game: ,간단한 조작으로 농구를 즐기자!  문구류 공장 놀이공원 등 책상 위에 만들어진 다양한 무대가 등장!  나만의 커스터마이징으로 최강의 오리지널 팀을 만들자!    【연습 경기】  혼자서 간편하게 경기를 즐기자!  3인제 5인제 선택 가능. 많이 놀고 조작이나 규칙을 외우자!    【친구 대전】  최대 4명이서 대전 및 협력 플레이 가능!  일반 코트부터 기믹이 가득한 특수 코트까지 다양한 무대가 등장!  잘 이용해 대전 상대와 차이를 만들자!    【팀 편성】  선수는 아이템을 사용한 상태 향상이나 개별적으로 스타일을 커스터마이징 가능! 유니폼과 조합해서 오리지널 마이팀을 만들자.    【토너먼트】  챔피언컵에 참전하자! 만만치 않은 라이벌을 누르고 우승을 노려라!    【캡슐 슛】  각 모드에서 획득한 포인트를 사용하여 새로운 포메이션이나 유니폼을 입수하자! 레어 아이템으로 한층 더 팀을 강화!    【기대된다】  포인트 슈터 도전!  정확한 슛으로 포인트 대량 획득하자!
Short Description: ,책상 위가 농구 코트가 되었다! 쳐라! 혼신의 슈퍼 덩크
Supported Languages: ,영어, 일본어
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134430/header.jpg?t=1690421947
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134430/capsule_231x87.jpg?t=1690421947
