Type: ,game
Name: ,Eclipse of the Moon
Steam AppID: ,2134280
Required Age: ,0
Is Free: ,False
Detailed Description: ,Eclipse of the Moon is a VR Rpg game that introduces the FPS system as a basic combat method.  The purpose of this game is to enter a magic school and perform the player's ultimate goal by climbing the tower where various creatives and artifacts appear.    The player will be admitted as a special scholarship student at a magic school and will help the school president's several tasks While climbing the tower. The more you climb the tower the more powerful Creature will appear and block you. However you will also become stronger as you climb the tower and you will use a variety of magic to move forward    Join forces with everyone at the magic school to prepare for the upcoming day of reflux. That is your objective and your most important objective. Protect everyone.      Basic play:    Basically the main way of fighting in this game is to kill the enemy with a magic bullet. The magic types are Rapid-shot single-shot and explosive-shot and anything will greatly help you navigate your way forward. Of course strengthening the basic attack to the end is the fun of this game too so please enjoy it.    Be careful not to bring the enemy close to you. If you were allowed access you would suffer a lot. Aim through the sights and get rid of the enemy without a moment to come.    A quick reloading technique will greatly help you get through the game. Practice and practice.      Developer comments:    Eclipse of the Moon has a total of 112 scenes and more than 20 beautiful large maps. I would appreciate it if you could enjoy the scenery of each map and play it.    All characters in the game are adults.
About the Game: ,Eclipse of the Moon is a VR Rpg game that introduces the FPS system as a basic combat method.  The purpose of this game is to enter a magic school and perform the player's ultimate goal by climbing the tower where various creatives and artifacts appear.    The player will be admitted as a special scholarship student at a magic school and will help the school president's several tasks While climbing the tower. The more you climb the tower the more powerful Creature will appear and block you. However you will also become stronger as you climb the tower and you will use a variety of magic to move forward    Join forces with everyone at the magic school to prepare for the upcoming day of reflux. That is your objective and your most important objective. Protect everyone.      Basic play:    Basically the main way of fighting in this game is to kill the enemy with a magic bullet. The magic types are Rapid-shot single-shot and explosive-shot and anything will greatly help you navigate your way forward. Of course strengthening the basic attack to the end is the fun of this game too so please enjoy it.    Be careful not to bring the enemy close to you. If you were allowed access you would suffer a lot. Aim through the sights and get rid of the enemy without a moment to come.    A quick reloading technique will greatly help you get through the game. Practice and practice.      Developer comments:    Eclipse of the Moon has a total of 112 scenes and more than 20 beautiful large maps. I would appreciate it if you could enjoy the scenery of each map and play it.    All characters in the game are adults.
Short Description: ,Eclipse of the Moon has the story of entering a magic school and breaking the coming crisis of reflux. Wear VR to become a student of the academy and prepare for the upcoming threat. The level of difficulty of this game will vary depending on the player's ability
Supported Languages: ,English, Korean
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134280/header.jpg?t=1664522577
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134280/capsule_231x87.jpg?t=1664522577
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134280/capsule_184x69.jpg?t=1664522577
Website: ,N/A
PC Minimum Requirements: ,Minimum:OS: Window10Processor: Core i5-7500 / Ryzen 5 1600Memory: 12 GB RAMGraphics: GTX 1060VR Support: Oculus PC
PC Maximum Requirements: ,Recommended:OS: Window10Memory: 12 MB RAM
Developers: ,Eclipse Universe
Publishers: ,Eclipse Universe
Price Currency: ,USD
Price Initial: ,1199
Price Final: ,1199
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,$11.99
Packages: ,763475
Package Group Name: ,default
Package Group Title: ,Buy Eclipse of the Moon
Package Group Description: ,
Package Group Selection Text: ,Select a purchase option
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,Tracked Controller Support,VR Only,Family Sharing,
