Type: ,dlc
Name: ,Fantasy Grounds - Devin Night Token Pack 157: Boss Fight
Steam AppID: ,2135020
Required Age: ,0
Is Free: ,False
Detailed Description: , Devin Night Token Pack 157: Boss FightThe climax of your adventure deserves a suitably epic foe and this pack has you covered! Coming at you with 27 of the most memorably majestic and massively marvelous baddies! Grab it today and you’ll be sure to find a fearsome foe to hinder your heroes!demon_apedemon_ashfienddemon_battleDemon_Bulldemon_desertdemon_devourerdemon_gnolldemon_haunterDemon_Minotaurdemon_mothernightdemon_piercerDemon_PumpkinDemon_Slasherdemon_tentaclesdemon_vulturedemon_whaleDemon_WideEarthsplitterElder_Nature_DrakeErinyes2LichKingLichKing2Metal_TitanNight_DemonSteel_Sentineltentacled_WarriorTitan_Goddess
About the Game: , Devin Night Token Pack 157: Boss FightThe climax of your adventure deserves a suitably epic foe and this pack has you covered! Coming at you with 27 of the most memorably majestic and massively marvelous baddies! Grab it today and you’ll be sure to find a fearsome foe to hinder your heroes!demon_apedemon_ashfienddemon_battleDemon_Bulldemon_desertdemon_devourerdemon_gnolldemon_haunterDemon_Minotaurdemon_mothernightdemon_piercerDemon_PumpkinDemon_Slasherdemon_tentaclesdemon_vulturedemon_whaleDemon_WideEarthsplitterElder_Nature_DrakeErinyes2LichKingLichKing2Metal_TitanNight_DemonSteel_Sentineltentacled_WarriorTitan_Goddess
Short Description: ,Devin Night Token Pack 157: Boss FightThe climax of your adventure deserves a suitably epic foe and this pack has you covered! Coming at you with 27 of the most memorably majestic and massively marvelous baddies! Grab it today and you’ll be sure to find a fearsome foe to hinder your heroes!
Supported Languages: ,English
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/header.jpg?t=1662485745
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/capsule_231x87.jpg?t=1662485745
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/capsule_184x69.jpg?t=1662485745
Website: ,N/A
PC Minimum Requirements: ,Minimum:OS: Windows 7x 8x or 10xProcessor: 1.6 GHz or higher processorMemory: 1 GB RAMGraphics: Graphics card recommendedDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 500 MB available spaceSound Card: a sound card is required for voice communication using external programs like Google Hangouts Skype or Discord.Additional Notes: Requirements vary by the add-ons installed and the number of players connecting to your game.
PC Maximum Requirements: ,Recommended:OS: Windows 7x 8x or 10xProcessor: 2.0 GHz or higher processorMemory: 4 GB RAMGraphics: DirectX or OpenGL compatible card.DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 2 GB available spaceSound Card: a sound card is required for voice communication using external programs like Google Hangouts Skype or Discord.Additional Notes: Requirements vary by the add-ons installed and the number of players connecting to your game.
Developers: ,SmiteWorks USA, LLC
Publishers: ,
Price Currency: ,USD
Price Initial: ,499
Price Final: ,499
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,$4.99
Packages: ,763730
Package Group Name: ,default
Package Group Title: ,Buy Fantasy Grounds - Devin Night Token Pack 157: Boss Fight
Package Group Description: ,
Package Group Selection Text: ,Select a purchase option
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,True
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Downloadable Content,Partial Controller Support,Family Sharing,
Genres: ,Indie,RPG,Strategy,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/ss_f5e34e5c1d53a71d11f3e35d85c0b1f4b64920d8.600x338.jpg?t=1662485745
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/ss_f5e34e5c1d53a71d11f3e35d85c0b1f4b64920d8.1920x1080.jpg?t=1662485745
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/ss_6573bf490724ff6fe4edef97fc470e42ca4c0eb8.600x338.jpg?t=1662485745
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/ss_6573bf490724ff6fe4edef97fc470e42ca4c0eb8.1920x1080.jpg?t=1662485745
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/ss_dbab39fa48802b4a96b8e6f5b16bc2358803c96e.600x338.jpg?t=1662485745
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/ss_dbab39fa48802b4a96b8e6f5b16bc2358803c96e.1920x1080.jpg?t=1662485745
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/ss_42b787594e37978797fcf2f9a06f5304f0efbf78.600x338.jpg?t=1662485745
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/ss_42b787594e37978797fcf2f9a06f5304f0efbf78.1920x1080.jpg?t=1662485745
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/ss_1d265787f86cabbd4f65b27308c864920d64a72e.600x338.jpg?t=1662485745
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135020/ss_1d265787f86cabbd4f65b27308c864920d64a72e.1920x1080.jpg?t=1662485745

