Type: ,dlc
Name: ,Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Classic Red Light District
Steam AppID: ,2135170
Required Age: ,0
Is Free: ,False
Detailed Description: ,&quot;Pathfinder RPG - Pathfinder Flip-Mat - Classic Red Light District    Whether your party is looking for contacts in the criminal underworld or fleeing from an angry thieves' guild no Game Master wants to spend time drawing every darkened alley and ramshackle storefront. Fortunately with Paizo's latest  Pathfinder Flip-Mat  you don't have to! This line of gaming maps provides ready-to-use fantasy set pieces for the busy Game Master. These maps is the perfect place for urban adventures and even matches up with  Pathfinder Flip-Mat Classics: Pub Crawl  providing a setting for any encounter needing a seedy atmosphere!   NOTE: This product has been made specifically for the Pathfinder ruleset but can be used for 5E Starfinder or any ruleset supported by Fantasy Grounds  This product is not a PDF or accessible outside of Fantasy Grounds. It has been lovingly converted for use within Fantasy Grounds and Features the Following additions:   All maps resized and set up with a preset grid to make combats easy to manage   All the images and handouts from the book available to share with your players as you need them &quot;
About the Game: ,&quot;Pathfinder RPG - Pathfinder Flip-Mat - Classic Red Light District    Whether your party is looking for contacts in the criminal underworld or fleeing from an angry thieves' guild no Game Master wants to spend time drawing every darkened alley and ramshackle storefront. Fortunately with Paizo's latest  Pathfinder Flip-Mat  you don't have to! This line of gaming maps provides ready-to-use fantasy set pieces for the busy Game Master. These maps is the perfect place for urban adventures and even matches up with  Pathfinder Flip-Mat Classics: Pub Crawl  providing a setting for any encounter needing a seedy atmosphere!   NOTE: This product has been made specifically for the Pathfinder ruleset but can be used for 5E Starfinder or any ruleset supported by Fantasy Grounds  This product is not a PDF or accessible outside of Fantasy Grounds. It has been lovingly converted for use within Fantasy Grounds and Features the Following additions:   All maps resized and set up with a preset grid to make combats easy to manage   All the images and handouts from the book available to share with your players as you need them &quot;
Short Description: ,&quot;Pathfinder RPG - Pathfinder Flip-Mat - Classic Red Light District Whether your party is looking for contacts in the criminal underworld or fleeing from an angry thieves' guild no Game Master wants to spend time drawing every darkened alley and ramshackle storefront.
Supported Languages: ,영어
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135170/header.jpg?t=1666100153
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135170/capsule_231x87.jpg?t=1666100153
