Type: ,game
Name: ,Forward Team
Steam AppID: ,2134910
Required Age: ,0
Is Free: ,False
Detailed Description: ,It is said that the Magic Mirror knows all the knowledge of the world. In order to find this treasure the brave team sets out for the tower of the magic forest.      There are Five randomly generated paths filled with crises and surprises.    According to the characteristics and status of different heroes move their positions to take advantage of strengths and avoid weaknesses to overcome the difficulties step by step.      The thorns is everywhere and the monsters so scary? No matter!    50+ treasures and 70+ blessings combine to make your team more powerful or interesting.    There are also potions and tools provided by the merchants to help you overcome the crisis.      Now begin your automatic casualroguelite adventure!
About the Game: ,It is said that the Magic Mirror knows all the knowledge of the world. In order to find this treasure the brave team sets out for the tower of the magic forest.      There are Five randomly generated paths filled with crises and surprises.    According to the characteristics and status of different heroes move their positions to take advantage of strengths and avoid weaknesses to overcome the difficulties step by step.      The thorns is everywhere and the monsters so scary? No matter!    50+ treasures and 70+ blessings combine to make your team more powerful or interesting.    There are also potions and tools provided by the merchants to help you overcome the crisis.      Now begin your automatic casualroguelite adventure!
Short Description: ,A team of four sets out on a journey to find the magic mirror. Change the position of the adventurers to determine whether they will be greeted by： monsters，trapsor treasure！ Your wisdom will lead the brave team through this wonderful adventure!
Supported Languages: ,English, Simplified Chinese
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/header.jpg?t=1703663672
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/capsule_231x87.jpg?t=1703663672
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/capsule_184x69.jpg?t=1703663672
Website: ,N/A
PC Minimum Requirements: ,Minimum:OS: win7/win8/win10/win11Processor: i3Memory: 2 GB RAMStorage: 2 GB available space
PC Maximum Requirements: ,Recommended:OS: win7/win8/win10/win11Processor: i5Memory: 4 GB RAMStorage: 4 GB available space
Developers: ,喜人一个
Publishers: ,喜人一个
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,Steam Achievements,
Genres: ,Indie,Strategy,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/ss_a2ce3af7308977714f5961bf9fc84b3862fb85fe.600x338.jpg?t=1703663672
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/ss_a2ce3af7308977714f5961bf9fc84b3862fb85fe.1920x1080.jpg?t=1703663672
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/ss_e3d7a9d6ed182929b8b3042f4621ac36ec027c1b.600x338.jpg?t=1703663672
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/ss_e3d7a9d6ed182929b8b3042f4621ac36ec027c1b.1920x1080.jpg?t=1703663672
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/ss_4875995be83fbfb4e50f89d08a5b0b73a556d8ba.600x338.jpg?t=1703663672
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/ss_4875995be83fbfb4e50f89d08a5b0b73a556d8ba.1920x1080.jpg?t=1703663672
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/ss_15a63ec01f8a3eecfd60d3757885b5a109ff104d.600x338.jpg?t=1703663672
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/ss_15a63ec01f8a3eecfd60d3757885b5a109ff104d.1920x1080.jpg?t=1703663672
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/ss_fa758099261ff8c5462b80ac60fd5a9e97325942.600x338.jpg?t=1703663672
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134910/ss_fa758099261ff8c5462b80ac60fd5a9e97325942.1920x1080.jpg?t=1703663672

