Type: ,game
Name: ,HellEscape
Steam AppID: ,2135030
Required Age: ,0
Is Free: ,False
Detailed Description: ,„The gates of hell are open night and day; Smooth the descent and easy is the way:But to return and view the cheerful skies In this the task and mighty labor lies.“HellEscape is a 2D bullet hell with auto-fire and roguelike elements. Inspired by games like Magic Survivors and Vampire Survivors but takes a different approach. Explore the unforgiving world of HellEscape complete special missions and uncover the hidden lore with 19 unique Heroes and over 70+ different weapons!9 Stages!55 Missions!27 Heroes!55 Special Artifacts!105 Weapons &amp; Abilities!60 Unique Power Ups!100 Monster Types!362 Achievements 46 on Steam!13 Types of Random Daily Challenges!20 Mounts to unlock!Note: currently doesn't work on steam deck. Only fully tested on windows.
About the Game: ,„The gates of hell are open night and day; Smooth the descent and easy is the way:But to return and view the cheerful skies In this the task and mighty labor lies.“HellEscape is a 2D bullet hell with auto-fire and roguelike elements. Inspired by games like Magic Survivors and Vampire Survivors but takes a different approach. Explore the unforgiving world of HellEscape complete special missions and uncover the hidden lore with 19 unique Heroes and over 70+ different weapons!9 Stages!55 Missions!27 Heroes!55 Special Artifacts!105 Weapons &amp; Abilities!60 Unique Power Ups!100 Monster Types!362 Achievements 46 on Steam!13 Types of Random Daily Challenges!20 Mounts to unlock!Note: currently doesn't work on steam deck. Only fully tested on windows.
Short Description: ,HellEscape is a 2D bullet hell with auto-fire and roguelike elements.
Supported Languages: ,English
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/header.jpg?t=1707247620
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/capsule_231x87.jpg?t=1707247620
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/capsule_184x69.jpg?t=1707247620
Website: ,https://ronenness.github.io/HellEscape-PressKit/
PC Minimum Requirements: ,Minimum:Requires a 64-bit processor and operating systemOS : Windows 8 64bit or later versionsMemory: 1 GB RAMStorage: 100 MB available spaceAdditional Notes: Uses WebView2. If not installed HellEscape should request Windows to install automatically.
PC Maximum Requirements: ,Recommended:Requires a 64-bit processor and operating system
Developers: ,Ronen Ness
Publishers: ,Ronen Ness
Price Currency: ,USD
Price Initial: ,399
Price Final: ,399
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,$3.99
Packages: ,763734
Package Group Name: ,default
Package Group Title: ,Buy HellEscape
Package Group Description: ,
Package Group Selection Text: ,Select a purchase option
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,Full controller support,Family Sharing,
Genres: ,Action,Indie,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_ef8faa463f21036fc4cad5edd9a9de9c61a5a66a.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_ef8faa463f21036fc4cad5edd9a9de9c61a5a66a.1920x1080.jpg?t=1707247620
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_2cc999186961633b68ebbe4ae3022253b4e835fc.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_2cc999186961633b68ebbe4ae3022253b4e835fc.1920x1080.jpg?t=1707247620
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_f79358680969da9591b7b495962a9d914a06eeb9.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_f79358680969da9591b7b495962a9d914a06eeb9.1920x1080.jpg?t=1707247620
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_dd36d057ba84f241c90176a20307edab51afbb6b.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_dd36d057ba84f241c90176a20307edab51afbb6b.1920x1080.jpg?t=1707247620
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_ca9eb9f7d76431a021c2e8ec7fb3d151b51a1c34.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_ca9eb9f7d76431a021c2e8ec7fb3d151b51a1c34.1920x1080.jpg?t=1707247620
Screenshot ID: ,5
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_a3bb35e2332d49263d02674511cea1d351df0c6a.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_a3bb35e2332d49263d02674511cea1d351df0c6a.1920x1080.jpg?t=1707247620
Screenshot ID: ,6
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_d3a247c90b54d24cf2d4539a5c9e50f132c5ff16.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_d3a247c90b54d24cf2d4539a5c9e50f132c5ff16.1920x1080.jpg?t=1707247620
Screenshot ID: ,7
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_2f5098914413025ee24f55ec0870226fdbf65f71.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_2f5098914413025ee24f55ec0870226fdbf65f71.1920x1080.jpg?t=1707247620
Screenshot ID: ,8
