Type: ,game
Name: ,Norigin
Steam AppID: ,2135000
Required Age: ,0
Is Free: ,False
Detailed Description: ,Norigin is a third person story driven adventure exploration game centred around a son reconnecting with his father through lost memories. Take control of our lost travelling protagonist during his journey of self discovery as you become intertwined in this gripping and emotional origin story. Experience gorgeous levels full of obstacles enemies &amp; breathtaking music.Key FeaturesFor fans of dynamic story driven action adventure gamesA personal intimate story written by a solo developerAn adventure of mystery secrets and ancient wonders
About the Game: ,Norigin is a third person story driven adventure exploration game centred around a son reconnecting with his father through lost memories. Take control of our lost travelling protagonist during his journey of self discovery as you become intertwined in this gripping and emotional origin story. Experience gorgeous levels full of obstacles enemies &amp; breathtaking music.Key FeaturesFor fans of dynamic story driven action adventure gamesA personal intimate story written by a solo developerAn adventure of mystery secrets and ancient wonders
Short Description: ,Norigin is a third person story driven adventure exploration game centred around a son reconnecting with his father through lost memories. Take control of our lost travelling protagonist during his journey of self discovery as you become intertwined in this gripping and emotional origin story.
Supported Languages: ,English<strong>*</strong><br><strong>*</strong>languages with full audio support
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/header.jpg?t=1695680661
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/capsule_231x87.jpg?t=1695680661
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/capsule_184x69.jpg?t=1695680661
Website: ,https://www.officialnorigin.com/
PC Minimum Requirements: ,Minimum:OS : Windows 7 (SP1+) and Windows 10Processor: x86 x64 architecture with SSE2 instruction set supportMemory: 8 GB RAMGraphics: DirectX 11 Compatible Video Card (Intel HD Graphics Not Supported)DirectX: Version 11Storage: 4 GB available space
Developers: ,J.S. Sangha
Publishers: ,J.S. Sangha
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,Steam Achievements,Partial Controller Support,
Genres: ,Adventure,Indie,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/ss_1469281e3355cd6f68e8ca6164aec37d4cbe0403.600x338.jpg?t=1695680661
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/ss_1469281e3355cd6f68e8ca6164aec37d4cbe0403.1920x1080.jpg?t=1695680661
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/ss_522e3e09d3b39d41dfa2cbc0bf0a77be1b527b5d.600x338.jpg?t=1695680661
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/ss_522e3e09d3b39d41dfa2cbc0bf0a77be1b527b5d.1920x1080.jpg?t=1695680661
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/ss_cddaf3f0f5be310f5fa28cfb9f1265e6debbd0ad.600x338.jpg?t=1695680661
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/ss_cddaf3f0f5be310f5fa28cfb9f1265e6debbd0ad.1920x1080.jpg?t=1695680661
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/ss_fa9aac9b173a613c8517da68dc64f32fa4c976cb.600x338.jpg?t=1695680661
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/ss_fa9aac9b173a613c8517da68dc64f32fa4c976cb.1920x1080.jpg?t=1695680661
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/ss_80c7575a6268f486362e27536396fdf60e26ac42.600x338.jpg?t=1695680661
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135000/ss_80c7575a6268f486362e27536396fdf60e26ac42.1920x1080.jpg?t=1695680661

