Type: ,demo
Name: ,Our Hero! Last - demo
Steam AppID: ,2134840
Required Age: ,0
Is Free: ,True
Detailed Description: ,
About the Game: ,
Short Description: ,
Supported Languages: ,영어, 이탈리아어
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134840/header.jpg?t=1674644005
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134840/capsule_231x87.jpg?t=1674644005
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134840/capsule_184x69.jpg?t=1674644005
Website: ,https://stesproject.com/games/our-hero-last/
PC Minimum Requirements: ,최소:64비트 프로세서와 운영 체제가 필요합니다
PC Maximum Requirements: ,권장:64비트 프로세서와 운영 체제가 필요합니다
Developers: ,Ste's Project
Publishers: ,Ste's Project
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,싱글 플레이어,게임 체험판,가족 공유,
Genres: N/A
Screenshots: N/A

