Type: ,game
Name: ,Our Winter Sports
Steam AppID: ,2134440
Required Age: ,0
Is Free: ,False
Detailed Description: ,Everyone's out in the snow for some frosty fun!    Play 10 kinds of winter sports!  There's curling ice hockey snow mobile races  snowball fights and more to enjoy!    Collect coins as you take on  all the games in Single Player mode!  Become the Winter Sports Champion!    - Snowboarding -  Head for the goal as you pull off cool tricks!  - Alpine Skiing -  Hit the turns at top speeds as you race to the finish!  - Ice Hockey -  Take to the rink for an icy clash!  - Speed Skating -  Slip slide and glide in a scramble for victory!  - Ice Fishing -  Get ready stay steady and go fish!  - Curling -  Guide the stone home!  - Biathlon -  Ski and shoot your way to 1st place!  - Snowball Fight -  The gloves are on for a snowball scuffle!  - Ski Jump -  Aim high and fly far in style!  - Snowmobile -  A white hot race to the finish!
About the Game: ,Everyone's out in the snow for some frosty fun!    Play 10 kinds of winter sports!  There's curling ice hockey snow mobile races  snowball fights and more to enjoy!    Collect coins as you take on  all the games in Single Player mode!  Become the Winter Sports Champion!    - Snowboarding -  Head for the goal as you pull off cool tricks!  - Alpine Skiing -  Hit the turns at top speeds as you race to the finish!  - Ice Hockey -  Take to the rink for an icy clash!  - Speed Skating -  Slip slide and glide in a scramble for victory!  - Ice Fishing -  Get ready stay steady and go fish!  - Curling -  Guide the stone home!  - Biathlon -  Ski and shoot your way to 1st place!  - Snowball Fight -  The gloves are on for a snowball scuffle!  - Ski Jump -  Aim high and fly far in style!  - Snowmobile -  A white hot race to the finish!
Short Description: ,The snowy season is heating up! It's time to play Our Winter Sports!
Supported Languages: ,영어, 일본어
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/header.jpg?t=1692247613
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/capsule_231x87.jpg?t=1692247613
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/capsule_184x69.jpg?t=1692247613
Website: ,N/A
PC Minimum Requirements: ,최소:운영 체제 : Windows 7 or Newer프로세서: 2.0 GHz메모리: 2 MB RAM그래픽: NVIDIA GTX 260 or ATI 4850DirectX: 버전 9.0c저장공간: 300 MB 사용 가능 공간추가 사항: Gamepad or Controller Recommended
Developers: ,SAT-BOX
Publishers: ,SAT-BOX
Price Currency: ,KRW
Price Initial: ,1100000
Price Final: ,220000
Price Discount Percent: ,80
Price Initial Formatted: ,₩ 11000
Price Final Formatted: ,₩ 2200
Packages: ,763527
Package Group Name: ,default
Package Group Title: ,Our Winter Sports 구매
Package Group Description: ,
Package Group Selection Text: ,구매 옵션을 선택하세요
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,싱글 플레이어,멀티플레이어,PvP,스크린 공유 및 분할 PvP,협동,스크린 공유 및 분할 협동,공유/분할 화면,컨트롤러 일부 지원,Remote Play Together,가족 공유,
Genres: ,액션,캐주얼,인디,스포츠,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_7c4debdd08436932e0c57cd3ea868720aa2c6ece.600x338.jpg?t=1692247613
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_7c4debdd08436932e0c57cd3ea868720aa2c6ece.1920x1080.jpg?t=1692247613
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_e9746db9b0970427071ebcf4a398424dc75f7eb9.600x338.jpg?t=1692247613
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_e9746db9b0970427071ebcf4a398424dc75f7eb9.1920x1080.jpg?t=1692247613
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_f7ebbacd708121cad4dfabbf5d9ee18605b7021f.600x338.jpg?t=1692247613
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_f7ebbacd708121cad4dfabbf5d9ee18605b7021f.1920x1080.jpg?t=1692247613
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_aad24905edeee793694aec93f89156d21fc91db1.600x338.jpg?t=1692247613
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_aad24905edeee793694aec93f89156d21fc91db1.1920x1080.jpg?t=1692247613
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_d948305333ac3295859ba802ad1446c990a44116.600x338.jpg?t=1692247613
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_d948305333ac3295859ba802ad1446c990a44116.1920x1080.jpg?t=1692247613
Screenshot ID: ,5
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_4d411ca6b6923e4b35f7e534c2710b161bd89bdf.600x338.jpg?t=1692247613
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134440/ss_4d411ca6b6923e4b35f7e534c2710b161bd89bdf.1920x1080.jpg?t=1692247613

