Type: ,game
Name: ,ParkTo
Steam AppID: ,2134300
Required Age: ,0
Is Free: ,True
Detailed Description: ,ParkTo is a simple puzzle game that stops the car at its destination.You don't drive a car yourself. The car just moves forward'. Use the given triggers to move the car to its destination: LEFT RIGHT STOP BACKWARD etc. Triggers can be placed on the path of the car or used on the car itself. FEATURES 48 handcrafted levels.  Various trigger interactions reflecting car movements.  Comfortable colors and minimal graphics.  You can play without a driving license! 
About the Game: ,ParkTo is a simple puzzle game that stops the car at its destination.You don't drive a car yourself. The car just moves forward'. Use the given triggers to move the car to its destination: LEFT RIGHT STOP BACKWARD etc. Triggers can be placed on the path of the car or used on the car itself. FEATURES 48 handcrafted levels.  Various trigger interactions reflecting car movements.  Comfortable colors and minimal graphics.  You can play without a driving license! 
Short Description: ,ParkTo is a simple puzzle game that stops the car at its destination. You don't drive a car yourself. The car just moves forward. Use the given triggers to move the car to its destination.
Supported Languages: ,English, Korean
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/header.jpg?t=1675259173
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/capsule_231x87.jpg?t=1675259173
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/capsule_184x69.jpg?t=1675259173
Website: ,N/A
PC Minimum Requirements: ,Minimum:OS: Wndow 7 64bitProcessor: 2.0 GHz+Memory: 1 GB RAMStorage: 200 MB available space
PC Maximum Requirements: ,Recommended:Memory: 2 GB RAMStorage: 200 MB available space
Developers: ,SweetPea
Publishers: ,SweetPea, Sejong Univ. PandoraCube
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,Steam Achievements,Steam Cloud,
Genres: ,Casual,Indie,Strategy,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/ss_62b79f337c450d25678647d82f82e8ef68429380.600x338.jpg?t=1675259173
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/ss_62b79f337c450d25678647d82f82e8ef68429380.1920x1080.jpg?t=1675259173
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/ss_4e093d50fb8c6a2a11a82db87567e9860fc9c216.600x338.jpg?t=1675259173
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/ss_4e093d50fb8c6a2a11a82db87567e9860fc9c216.1920x1080.jpg?t=1675259173
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/ss_05829a897fd1d14a95afd9ba46d64517ac494ff9.600x338.jpg?t=1675259173
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/ss_05829a897fd1d14a95afd9ba46d64517ac494ff9.1920x1080.jpg?t=1675259173
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/ss_fde2ee6dfbee126b64f16e1962226631216c54c9.600x338.jpg?t=1675259173
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/ss_fde2ee6dfbee126b64f16e1962226631216c54c9.1920x1080.jpg?t=1675259173
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/ss_303333b42fb3c419d087b5260302af2cfdb8dd3d.600x338.jpg?t=1675259173
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134300/ss_303333b42fb3c419d087b5260302af2cfdb8dd3d.1920x1080.jpg?t=1675259173

