Type: ,dlc
Name: ,RPG Maker MZ - Nemo's Desert Battlers Pack 1
Steam AppID: ,2135120
Required Age: ,0
Is Free: ,False
Detailed Description: ,This battler pack contains unique desert monster designs; 5 common monsters and a boss:    - Will o' Wisp  - Antlion  - Sand Crab  - Pot Monster (open and closed)  - Dune Bandit  - Alicanto(boss)    Each of them comes in 6 colors (except for the Pot Monster which has 4) for a total of 38 battlers! Every single one of them is extremely detailed and will make your players enjoy fights even more!    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   NOT ok for use in adult-rated games
About the Game: ,This battler pack contains unique desert monster designs; 5 common monsters and a boss:    - Will o' Wisp  - Antlion  - Sand Crab  - Pot Monster (open and closed)  - Dune Bandit  - Alicanto(boss)    Each of them comes in 6 colors (except for the Pot Monster which has 4) for a total of 38 battlers! Every single one of them is extremely detailed and will make your players enjoy fights even more!    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   NOT ok for use in adult-rated games
Short Description: ,This battler pack contains unique desert monster designs; 5 common monsters and a boss:
Supported Languages: ,English, Japanese, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Korean
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/header.jpg?t=1681338517
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/capsule_231x87.jpg?t=1681338517
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/capsule_184x69.jpg?t=1681338517
Website: ,N/A
PC Minimum Requirements: ,Minimum:Additional Notes: System Supporting RPG Maker MZ
Developers: ,TheArtOfNemo
Publishers: ,KOMODO
Price Currency: ,USD
Price Initial: ,699
Price Final: ,699
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,$6.99
Packages: ,763770
Package Group Name: ,default
Package Group Title: ,Buy RPG Maker MZ - Nemo's Desert Battlers Pack 1
Package Group Description: ,
Package Group Selection Text: ,Select a purchase option
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,True
Linux: ,False
Metacritic: N/A
Categories: ,Downloadable Content,Steam Workshop,Partial Controller Support,
Genres: ,RPG,Design & Illustration,Web Publishing,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/ss_f30a942a97d428c17548bfbf5998196d1316f10f.600x338.jpg?t=1681338517
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/ss_f30a942a97d428c17548bfbf5998196d1316f10f.1920x1080.jpg?t=1681338517
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/ss_611238e27e1d5bf4398d491e7b3a35d8dac0e22a.600x338.jpg?t=1681338517
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/ss_611238e27e1d5bf4398d491e7b3a35d8dac0e22a.1920x1080.jpg?t=1681338517
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/ss_2fcf8a5d0b794d7c326f355b4df153025a86fb51.600x338.jpg?t=1681338517
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/ss_2fcf8a5d0b794d7c326f355b4df153025a86fb51.1920x1080.jpg?t=1681338517
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/ss_55efd9e7ce233625369065d6c401ebeedde0786a.600x338.jpg?t=1681338517
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/ss_55efd9e7ce233625369065d6c401ebeedde0786a.1920x1080.jpg?t=1681338517
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/ss_f3639cf172fa3d154a77ba7238a3acf08ee8f880.600x338.jpg?t=1681338517
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135120/ss_f3639cf172fa3d154a77ba7238a3acf08ee8f880.1920x1080.jpg?t=1681338517

