Type: ,dlc
Name: ,RPG Maker MZ - Seraph Circle Pixel Monster 1
Steam AppID: ,2135080
Required Age: ,0
Is Free: ,False
Detailed Description: ,Delve into the first SeraphCircle pixel monsters! Two lovingly packed 256x256 spritesheets containing a wealth of nature-themed creatures for your game. From flies to sylphs to ogres this pack is as versatile as it is practical!    We hope our creatures help spark that creative light in your mind!    Features:     Sprites are provided as individual sprites in 5 different scales (1x 2x 3x 4x 5x) for ease of use in the RPG Maker of your choice.   Sprites are also provided compacted in 256x256 spritesheets for use in other engines.    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   OK for use in adult-rated games
About the Game: ,Delve into the first SeraphCircle pixel monsters! Two lovingly packed 256x256 spritesheets containing a wealth of nature-themed creatures for your game. From flies to sylphs to ogres this pack is as versatile as it is practical!    We hope our creatures help spark that creative light in your mind!    Features:     Sprites are provided as individual sprites in 5 different scales (1x 2x 3x 4x 5x) for ease of use in the RPG Maker of your choice.   Sprites are also provided compacted in 256x256 spritesheets for use in other engines.    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   OK for use in adult-rated games
Short Description: ,Delve into the first SeraphCircle pixel monsters!
Supported Languages: ,영어, 일본어, 프랑스어, 이탈리아어, 독일어, 스페인어 - 스페인, 포르투갈어 - 브라질, 러시아어, 중국어 간체, 중국어 번체, 한국어
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135080/header.jpg?t=1681405828
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135080/capsule_231x87.jpg?t=1681405828
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2135080/capsule_184x69.jpg?t=1681405828
Website: ,N/A
PC Minimum Requirements: ,최소:추가 사항: System Supporting RPG Maker MZ
Developers: ,Jo Seraph
Publishers: ,KOMODO
Price Currency: ,KRW
Price Initial: ,1650000
Price Final: ,1650000
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,₩ 16500
Packages: ,763755
Package Group Name: ,default
Package Group Title: ,RPG Maker MZ - Seraph Circle Pixel Monster 1 구매
Package Group Description: ,
Package Group Selection Text: ,구매 옵션을 선택하세요
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,True
Linux: ,False
Metacritic: N/A
Categories: ,다운로드 가능한 콘텐츠,Steam 창작마당,컨트롤러 일부 지원,
Genres: ,RPG,디자인과 일러스트레이션,웹 퍼블리싱,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135080/ss_1f2911195985db0752adc40080ae8a77031d22b8.600x338.jpg?t=1681405828
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135080/ss_1f2911195985db0752adc40080ae8a77031d22b8.1920x1080.jpg?t=1681405828
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135080/ss_bd7e203739daa4fdf0024082ec4cc253b0dbe9ae.600x338.jpg?t=1681405828
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135080/ss_bd7e203739daa4fdf0024082ec4cc253b0dbe9ae.1920x1080.jpg?t=1681405828
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135080/ss_988fd421f6146df47eac12243e15fdaf91d7eefa.600x338.jpg?t=1681405828
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135080/ss_988fd421f6146df47eac12243e15fdaf91d7eefa.1920x1080.jpg?t=1681405828

