Type: ,dlc
Name: ,RPG Maker VX Ace - NPC Female Citizens Vol.1
Steam AppID: ,2135050
Required Age: ,0
Is Free: ,False
Detailed Description: ,Bring some new NPC voices to your game with NPC Female Citizens Vol1! TK. Projects is back with another voice pack this time focusing on a variety of women you could find in a castle city. With voice types from cheerful young merchants to creaky elderly women this pack’s 12 Japanese voices are ready to help you add some cheer (or fear) to the town’s commerce section.    10 different SEs for each voice type means you have 120 SEs to choose from! Find the right voice clip for every situation with options for greetings anger agreement questioning thinking worry laughter happiness surprise and fear.    Features:     120 different phrases and sayings   10 SE per character   ogg and m4a file formats included    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   OK for use in adult-rated games
About the Game: ,Bring some new NPC voices to your game with NPC Female Citizens Vol1! TK. Projects is back with another voice pack this time focusing on a variety of women you could find in a castle city. With voice types from cheerful young merchants to creaky elderly women this pack’s 12 Japanese voices are ready to help you add some cheer (or fear) to the town’s commerce section.    10 different SEs for each voice type means you have 120 SEs to choose from! Find the right voice clip for every situation with options for greetings anger agreement questioning thinking worry laughter happiness surprise and fear.    Features:     120 different phrases and sayings   10 SE per character   ogg and m4a file formats included    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   OK for use in adult-rated games
Short Description: ,Bring some new NPC voices to your game with NPC Female Citizens Vol1!
Supported Languages: ,English, French, German, Spanish - Spain, Italian, Portuguese - Brazil, Japanese
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135050/header.jpg?t=1681268919
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135050/capsule_231x87.jpg?t=1681268919
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2135050/capsule_184x69.jpg?t=1681268919
Website: ,N/A
PC Minimum Requirements: ,Minimum:OS :Microsoft® Windows® XP / Vista / 7 (32-bit/64-bit)	Processor:Intel® Pentium® 4 2.0 GHz equivalent or faster processor	Memory:512 MB RAM	Graphics:1024 x 768 pixels or higher desktop resolution	Hard Drive:400 MB HD space
PC Maximum Requirements: ,Recommended:Processor:Intel® Pentium® 4 2.0 GHz equivalent or faster processor	Memory:512 MB RAM
Developers: ,TK.Projects
Publishers: ,KOMODO
Price Currency: ,USD
Price Initial: ,3499
Price Final: ,3499
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,$34.99
Packages: ,763740
Package Group Name: ,default
Package Group Title: ,Buy RPG Maker VX Ace - NPC Female Citizens Vol.1
Package Group Description: ,
Package Group Selection Text: ,Select a purchase option
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Downloadable Content,Steam Trading Cards,Steam Workshop,
Genres: ,Design & Illustration,Web Publishing,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135050/ss_9a2bd9c81f097876619121523f2761f8591c0b64.600x338.jpg?t=1681268919
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135050/ss_9a2bd9c81f097876619121523f2761f8591c0b64.1920x1080.jpg?t=1681268919

