Type: ,dlc
Name: ,RPG Maker VX Ace - NPC Male Villagers Vol.2
Steam AppID: ,2135100
Required Age: ,0
Is Free: ,False
Detailed Description: ,Fill your towns and villages with happy greetings and quest-starting cries with NPC Male Villagers Vol.2! TK. Projects is here with another enormous voice pack with 120 Japanese voice SEs to help you flesh out more of your NPCs and characters. Give your villages’ cheerful boys happy shouts of hello the local merchant a depressed sigh when his shipment doesn’t come in and the grouchy old nobleman an angry screech if your heroes enter his house!    Features:     120 different phrases and sayings   10 SE per character   ogg and m4a file formats included    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   OK for use in adult-rated games
About the Game: ,Fill your towns and villages with happy greetings and quest-starting cries with NPC Male Villagers Vol.2! TK. Projects is here with another enormous voice pack with 120 Japanese voice SEs to help you flesh out more of your NPCs and characters. Give your villages’ cheerful boys happy shouts of hello the local merchant a depressed sigh when his shipment doesn’t come in and the grouchy old nobleman an angry screech if your heroes enter his house!    Features:     120 different phrases and sayings   10 SE per character   ogg and m4a file formats included    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   OK for use in adult-rated games
Short Description: ,Fill your towns and villages with happy greetings and quest-starting cries with NPC Male Villagers Vol.2!
Supported Languages: ,영어, 프랑스어, 독일어, 스페인어 - 스페인, 이탈리아어, 포르투갈어 - 브라질, 일본어
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135100/header.jpg?t=1681270104
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135100/capsule_231x87.jpg?t=1681270104
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2135100/capsule_184x69.jpg?t=1681270104
Website: ,N/A
PC Minimum Requirements: ,Minimum:OS :Microsoft® Windows® XP / Vista / 7 (32-bit/64-bit)	Processor:Intel® Pentium® 4 2.0 GHz equivalent or faster processor	Memory:512 MB RAM	Graphics:1024 x 768 pixels or higher desktop resolution	Hard Drive:400 MB HD space
PC Maximum Requirements: ,Recommended:Processor:Intel® Pentium® 4 2.0 GHz equivalent or faster processor	Memory:512 MB RAM
Developers: ,TK.Projects
Publishers: ,KOMODO
Price Currency: ,KRW
Price Initial: ,3750000
Price Final: ,3750000
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,₩ 37500
Packages: ,763761
Package Group Name: ,default
Package Group Title: ,RPG Maker VX Ace - NPC Male Villagers Vol.2 구매
Package Group Description: ,
Package Group Selection Text: ,구매 옵션을 선택하세요
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,다운로드 가능한 콘텐츠,Steam 트레이딩 카드,Steam 창작마당,
Genres: ,디자인과 일러스트레이션,웹 퍼블리싱,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135100/ss_7d9ebe730584489da87c55e4d54688f836af61e6.600x338.jpg?t=1681270104
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135100/ss_7d9ebe730584489da87c55e4d54688f836af61e6.1920x1080.jpg?t=1681270104

