Type: ,game
Name: ,Rev Up! RC Grand Prix
Steam AppID: ,2134410
Required Age: ,0
Is Free: ,False
Detailed Description: ,간단한 조작으로 즐길 수 있는 무선 조종 게임이 등장!    버기 랠리 포뮬러 트랙 등  120종류 이상의 차량 수록!  오토바이형 무선 조종사로 이륜 주행도 즐기자!  온로드와 오프로드 코스를 공략하자!    오리지널 머신 코스 작성 가능!  자유롭게 조립한 머신과 나만의 코스로  마음껏 레이스를 즐기자!    그 밖에도 모두 함께 놀 수 있는 파티 모드나  그랑프리 등 풍성!    【혼자】  코스를 마음껏 뛰어드는 프리 주행 4코스 승부 그랑프리에서 솜씨를 시험해보자!    【다함께】  최대 6명까지 함께 플레이할 수 있다!가족이나 친구들과 파티 모드나 백열 그랑프리에서 놀자!    【머신 커스텀】  머신 부품을 조합하거나 각 부품을 원하는 컬러로 바꿔 오리지널 머신을 작성하자!    【코스 에디트】  코스 부품을 자유롭게 배치하여 자신만의 코스를 만들어내자! 프리 주행이나 그랑프리로 달릴 수 있어!    【샵】  게임 내에서 획득한 포인트를 사용하여 새로운 기계를 획득하자! 목표로 해 컴플리트!    멀티 플레이에는 컨트롤러가 필요합니다.  XInput 형식의 컨트롤러는 4개만 연결할 수 있습니다.
About the Game: ,간단한 조작으로 즐길 수 있는 무선 조종 게임이 등장!    버기 랠리 포뮬러 트랙 등  120종류 이상의 차량 수록!  오토바이형 무선 조종사로 이륜 주행도 즐기자!  온로드와 오프로드 코스를 공략하자!    오리지널 머신 코스 작성 가능!  자유롭게 조립한 머신과 나만의 코스로  마음껏 레이스를 즐기자!    그 밖에도 모두 함께 놀 수 있는 파티 모드나  그랑프리 등 풍성!    【혼자】  코스를 마음껏 뛰어드는 프리 주행 4코스 승부 그랑프리에서 솜씨를 시험해보자!    【다함께】  최대 6명까지 함께 플레이할 수 있다!가족이나 친구들과 파티 모드나 백열 그랑프리에서 놀자!    【머신 커스텀】  머신 부품을 조합하거나 각 부품을 원하는 컬러로 바꿔 오리지널 머신을 작성하자!    【코스 에디트】  코스 부품을 자유롭게 배치하여 자신만의 코스를 만들어내자! 프리 주행이나 그랑프리로 달릴 수 있어!    【샵】  게임 내에서 획득한 포인트를 사용하여 새로운 기계를 획득하자! 목표로 해 컴플리트!    멀티 플레이에는 컨트롤러가 필요합니다.  XInput 형식의 컨트롤러는 4개만 연결할 수 있습니다.
Short Description: ,노려라 무선 조종 챔피언! 다같이 코스를 달려가자!
Supported Languages: ,영어, 일본어
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/header.jpg?t=1677801131
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/capsule_231x87.jpg?t=1677801131
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/capsule_184x69.jpg?t=1677801131
Website: ,N/A
PC Minimum Requirements: ,최소:운영 체제 : Windows 7 or Newer프로세서: 2.0 GHz메모리: 2 GB RAM그래픽: NVIDIA GTX 260 or ATI 4850DirectX: 버전 9.0c저장공간: 200 MB 사용 가능 공간추가 사항: Gamepad or Controller Recommended
Developers: ,SAT-BOX
Publishers: ,SAT-BOX
Price Currency: ,KRW
Price Initial: ,1450000
Price Final: ,1450000
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,₩ 14500
Packages: ,763518
Package Group Name: ,default
Package Group Title: ,Rev Up! RC Grand Prix 구매
Package Group Description: ,
Package Group Selection Text: ,구매 옵션을 선택하세요
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,싱글 플레이어,멀티플레이어,PvP,스크린 공유 및 분할 PvP,협동,스크린 공유 및 분할 협동,공유/분할 화면,가족 공유,
Genres: ,액션,캐주얼,인디,스포츠,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/ss_1124cc91dbff600c6f5fe80b52bec1e91c3fa20d.600x338.jpg?t=1677801131
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/ss_1124cc91dbff600c6f5fe80b52bec1e91c3fa20d.1920x1080.jpg?t=1677801131
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/ss_6ca987d5810230f1aa36443f7bf0f6ea0493c72c.600x338.jpg?t=1677801131
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/ss_6ca987d5810230f1aa36443f7bf0f6ea0493c72c.1920x1080.jpg?t=1677801131
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/ss_d93ebfd2938fb18fe44533739d62cfa894cb8437.600x338.jpg?t=1677801131
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/ss_d93ebfd2938fb18fe44533739d62cfa894cb8437.1920x1080.jpg?t=1677801131
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/ss_044038ee7f01becf818eeed73b84932e1d4bcc00.600x338.jpg?t=1677801131
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/ss_044038ee7f01becf818eeed73b84932e1d4bcc00.1920x1080.jpg?t=1677801131
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/ss_584239a1773384554433d98458a9f6cc8049e27c.600x338.jpg?t=1677801131
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134410/ss_584239a1773384554433d98458a9f6cc8049e27c.1920x1080.jpg?t=1677801131
