Type: ,game
Name: ,Scribbleman Army
Steam AppID: ,2134900
Required Age: ,0
Is Free: ,False
Detailed Description: ,Do you like watching tons of units working for you?Scribbleman Army is a colony management and idle/clicker game where you have to explore a cave.Collect resources with just a few clicks.Craft units with your resources they will help you collect craft and fight.Create new buildings and level up them to unlock new units and new crafts.Upgrade your units to be more productive and more powerful.Prepare for the battle if you want to go down to the next level.You have learnt that your childhood friend has disappeared while trying to explore a new cave.Your duty is to go inside these huge undergrounds and find him!To do so you will have to be clever organized and careful. This cave isn't like the others...
About the Game: ,Do you like watching tons of units working for you?Scribbleman Army is a colony management and idle/clicker game where you have to explore a cave.Collect resources with just a few clicks.Craft units with your resources they will help you collect craft and fight.Create new buildings and level up them to unlock new units and new crafts.Upgrade your units to be more productive and more powerful.Prepare for the battle if you want to go down to the next level.You have learnt that your childhood friend has disappeared while trying to explore a new cave.Your duty is to go inside these huge undergrounds and find him!To do so you will have to be clever organized and careful. This cave isn't like the others...
Short Description: ,Explore a dark cave. Craft tons of units to help you collect resources. Create new buildings and unlock new recipes. Grow your scribbleman army and be ready to fight monsters!!
Supported Languages: ,English<strong>*</strong>, French<strong>*</strong>, Simplified Chinese<strong>*</strong>, Portuguese - Brazil<strong>*</strong><br><strong>*</strong>languages with full audio support
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/header.jpg?t=1668504433
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/capsule_231x87.jpg?t=1668504433
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/capsule_184x69.jpg?t=1668504433
Website: ,https://www.hopedrinkers.com/
PC Minimum Requirements: ,Minimum:Requires a 64-bit processor and operating systemOS : Windows 7 or newerProcessor: Dual Core 2.3 GHzMemory: 2 GB RAMGraphics: NVIDIA GeForce GT610Storage: 250 MB available space
PC Maximum Requirements: ,Recommended:Requires a 64-bit processor and operating systemOS: Windows 10Processor: Quad Core 2.4 GHzMemory: 4 GB RAMGraphics: NVIDIA GeForce GTX 1050Storage: 250 MB available space
Developers: ,Hope Drinkers
Publishers: ,Hope Drinkers
Price Currency: ,USD
Price Initial: ,199
Price Final: ,199
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,$1.99
Packages: ,763686
Package Group Name: ,default
Package Group Title: ,Buy Scribbleman Army
Package Group Description: ,
Package Group Selection Text: ,Select a purchase option
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,Steam Achievements,Steam Cloud,Family Sharing,
Genres: ,Adventure,Casual,Indie,Strategy,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/ss_56a3bc7bacb7e475f5cf2ca1d90d905a9d7c7c07.600x338.jpg?t=1668504433
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/ss_56a3bc7bacb7e475f5cf2ca1d90d905a9d7c7c07.1920x1080.jpg?t=1668504433
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/ss_08ababb1814963d1b88ddae7656729aa8a5f0bdb.600x338.jpg?t=1668504433
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/ss_08ababb1814963d1b88ddae7656729aa8a5f0bdb.1920x1080.jpg?t=1668504433
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/ss_e82ac7bdb27d1d305e5a04575b1e0de65835a26b.600x338.jpg?t=1668504433
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/ss_e82ac7bdb27d1d305e5a04575b1e0de65835a26b.1920x1080.jpg?t=1668504433
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/ss_57c38e754dc5f6693cc68ba50c879f3e04b5e628.600x338.jpg?t=1668504433
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/ss_57c38e754dc5f6693cc68ba50c879f3e04b5e628.1920x1080.jpg?t=1668504433
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/ss_58001deda118b3f7f06f36fa8d7aa33c23d43bc4.600x338.jpg?t=1668504433
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134900/ss_58001deda118b3f7f06f36fa8d7aa33c23d43bc4.1920x1080.jpg?t=1668504433

