Type: ,game
Name: ,Soul Dier
Steam AppID: ,2134980
Required Age: ,0
Is Free: ,False
Detailed Description: ,Embark on an adventure to retrieve the lost memory and delve into the world's mysteries. Fight against the evil legion with your allies on the journey!FeaturesClassic JRPG style grid-based and turn-based tactical battles with core actions including move attack skill item wait and interactEmphasis on positioning with directional defense damage attenuation and strategically-located coversAround 60 unique levels and more than 20 hours of playtime5 chapters with various themes and unique scenes without repetitiveness as well as a large variety of enemies and character skillsLots of special level mechanics such as puzzle solving car fight and stealthChallenging gameplay that requires strategic and cautious movesAdventure story that explores a mysterious world displayed with cutscenes for every levelsLightweight progression system without any grinding but still allows customization using charms items and character upgrades
About the Game: ,Embark on an adventure to retrieve the lost memory and delve into the world's mysteries. Fight against the evil legion with your allies on the journey!FeaturesClassic JRPG style grid-based and turn-based tactical battles with core actions including move attack skill item wait and interactEmphasis on positioning with directional defense damage attenuation and strategically-located coversAround 60 unique levels and more than 20 hours of playtime5 chapters with various themes and unique scenes without repetitiveness as well as a large variety of enemies and character skillsLots of special level mechanics such as puzzle solving car fight and stealthChallenging gameplay that requires strategic and cautious movesAdventure story that explores a mysterious world displayed with cutscenes for every levelsLightweight progression system without any grinding but still allows customization using charms items and character upgrades
Short Description: ,Soul Dier is a story-driven grid-based and turn-based tactical JRPG. Embark on a adventure to retrieve the lost memory and delve into the world's mysteries. Fight against the evil legion with your allies on the journey!
Supported Languages: ,English, Traditional Chinese
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/header.jpg?t=1667018793
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/capsule_231x87.jpg?t=1667018793
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/capsule_184x69.jpg?t=1667018793
Website: ,https://www.soul-dier.com/
PC Minimum Requirements: ,Minimum:OS: Windows 10 (64bit)Processor: Intel Core i5-6500 ProcessorMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1050Storage: 20 GB available space
PC Maximum Requirements: ,Recommended:OS: Windows 10 (64bit)Processor: AMD Ryzen 5 5600XMemory: 32 GB RAMGraphics: NVIDIA GeForce GTX 3060Storage: 20 GB available space
Developers: ,Gawehold, Weonix
Publishers: ,Ponpoppocpok Software
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,
Genres: ,Adventure,Indie,RPG,Strategy,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_8bfd49c233c00ab92449ec708da4e4d508059876.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_8bfd49c233c00ab92449ec708da4e4d508059876.1920x1080.jpg?t=1667018793
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_85a2a514d6130a30aec22eac9d48eff8da7e7ed2.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_85a2a514d6130a30aec22eac9d48eff8da7e7ed2.1920x1080.jpg?t=1667018793
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_a73d10ec180091aa7e5d1d8a9756db294fa2569f.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_a73d10ec180091aa7e5d1d8a9756db294fa2569f.1920x1080.jpg?t=1667018793
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_b6ce792dfef7c85c89a0803e5474b510dff8cfd7.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_b6ce792dfef7c85c89a0803e5474b510dff8cfd7.1920x1080.jpg?t=1667018793
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_d39013944cf59552a9b6fb33e96222a8fb8f8416.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_d39013944cf59552a9b6fb33e96222a8fb8f8416.1920x1080.jpg?t=1667018793
Screenshot ID: ,5
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_c18f4aedbb33468e2222af62dfe6e0a4ec55b3c3.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_c18f4aedbb33468e2222af62dfe6e0a4ec55b3c3.1920x1080.jpg?t=1667018793
Screenshot ID: ,6
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_6c5015908414033fdf6502ae72ebe21a297acff2.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_6c5015908414033fdf6502ae72ebe21a297acff2.1920x1080.jpg?t=1667018793
Screenshot ID: ,7
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_29f1b8c606358ca76ed9c6874bd28c6566c9645f.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_29f1b8c606358ca76ed9c6874bd28c6566c9645f.1920x1080.jpg?t=1667018793
Screenshot ID: ,8
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_3bfc05ac7be6f1df03ca12538bf06320860e594b.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_3bfc05ac7be6f1df03ca12538bf06320860e594b.1920x1080.jpg?t=1667018793
Screenshot ID: ,9
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_6f4aa77cc2fb4c74505fc75ccf4529c23a64ed93.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_6f4aa77cc2fb4c74505fc75ccf4529c23a64ed93.1920x1080.jpg?t=1667018793
Screenshot ID: ,10
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_90ddf83e3f42ecd5a0a35f0ecd1bddef329d64bf.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_90ddf83e3f42ecd5a0a35f0ecd1bddef329d64bf.1920x1080.jpg?t=1667018793
Screenshot ID: ,11
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_b9099562112f7c87a5503c8a09efe2c36bbe85f1.600x338.jpg?t=1667018793
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134980/ss_b9099562112f7c87a5503c8a09efe2c36bbe85f1.1920x1080.jpg?t=1667018793

