Type: ,game
Name: ,Station9
Steam AppID: ,2134850
Required Age: ,0
Is Free: ,False
Detailed Description: ,Wishlist Now!Take a moment to add Station9 to your Steam Wishlist! You can also Follow to receive updates about development and release dates and it will help us reach more players.게임 정보The Earth was on the brink of collapse with the ecological changes needed to ensure a sustainable future never implemented. However a new hope arrived from distant space in the form of a meteorite containing a promising substance. The biggest energy corporations have embarked on extracting this precious resource. Build your own drill station exploit the resource and export it or transform it into high potential energy products. Will you dare to take up the challenge and try to become the leader in the industry? Build a multi-level station optimize space develop new construction possibilities through research in new technologies. You will have to monitor the facilities solve technical problems and make strategic decisions to ensure the sustainability of your station.Choose your employees carefully ensuring their skills match your needs. Make sure they are healthy motivated to develop their skills and happy enough to continue working for you.Develop your production lines manage your logistics and build increasingly complex objects.The hostile environment of the planet won't make your task any easier: sandstorms and meteor showers will be on the agenda. Explore the planet prospect and find new deposits before your competitors do. Overcome these challenges to maintain production at the level of increasing demand.
About the Game: ,The Earth was on the brink of collapse with the ecological changes needed to ensure a sustainable future never implemented. However a new hope arrived from distant space in the form of a meteorite containing a promising substance. The biggest energy corporations have embarked on extracting this precious resource. Build your own drill station exploit the resource and export it or transform it into high potential energy products. Will you dare to take up the challenge and try to become the leader in the industry? Build a multi-level station optimize space develop new construction possibilities through research in new technologies. You will have to monitor the facilities solve technical problems and make strategic decisions to ensure the sustainability of your station.Choose your employees carefully ensuring their skills match your needs. Make sure they are healthy motivated to develop their skills and happy enough to continue working for you.Develop your production lines manage your logistics and build increasingly complex objects.The hostile environment of the planet won't make your task any easier: sandstorms and meteor showers will be on the agenda. Explore the planet prospect and find new deposits before your competitors do. Overcome these challenges to maintain production at the level of increasing demand.
Short Description: ,Take part in saving the Earth with a material discovered in a meteorite. Build a drilling station on a distant planet face challenges and manage your resources to succeed.
Supported Languages: ,영어, 프랑스어
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/header.jpg?t=1704403744
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/capsule_231x87.jpg?t=1704403744
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/capsule_184x69.jpg?t=1704403744
Website: ,N/A
PC Minimum Requirements: ,최소:운영 체제 : Windows 7 (SP1+)프로세서: x86 x64 architecture with SSE2 instruction set support메모리: 4 GB RAM그래픽: GeForce GTX 960DirectX: 버전 10저장공간: 1 GB 사용 가능 공간
Developers: ,Ayota Games
Publishers: ,Abiding Bridge
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,싱글 플레이어,Steam 도전 과제,
Genres: ,시뮬레이션,전략,앞서 해보기,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_0d33a8d20d0ba5d7ba1acdd19cdb142b7b96afaa.600x338.jpg?t=1704403744
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_0d33a8d20d0ba5d7ba1acdd19cdb142b7b96afaa.1920x1080.jpg?t=1704403744
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_757ea699e7d23ec640908ed25d563b2e444ba835.600x338.jpg?t=1704403744
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_757ea699e7d23ec640908ed25d563b2e444ba835.1920x1080.jpg?t=1704403744
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_9c479f95345afe8ac12e77ca50a78e42d7412889.600x338.jpg?t=1704403744
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_9c479f95345afe8ac12e77ca50a78e42d7412889.1920x1080.jpg?t=1704403744
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_d4e8bc9d174fb82d2dca6e1c23526be88cbdf5cd.600x338.jpg?t=1704403744
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_d4e8bc9d174fb82d2dca6e1c23526be88cbdf5cd.1920x1080.jpg?t=1704403744
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_ecf9fc203f99661af423c7f3cfa9519a548f6ea9.600x338.jpg?t=1704403744
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_ecf9fc203f99661af423c7f3cfa9519a548f6ea9.1920x1080.jpg?t=1704403744
Screenshot ID: ,5
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_fd6568a54aa589eb547fc887fb5cec07efec7acc.600x338.jpg?t=1704403744
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_fd6568a54aa589eb547fc887fb5cec07efec7acc.1920x1080.jpg?t=1704403744
Screenshot ID: ,6
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_16422e830f92e0e77fc9385395e0ae910744e7d8.600x338.jpg?t=1704403744
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_16422e830f92e0e77fc9385395e0ae910744e7d8.1920x1080.jpg?t=1704403744
Screenshot ID: ,7
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_efd2995828a08240adeaee0a478572a8b12747b2.600x338.jpg?t=1704403744
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134850/ss_efd2995828a08240adeaee0a478572a8b12747b2.1920x1080.jpg?t=1704403744

