Type: ,game
Name: ,Survive The Troll
Steam AppID: ,2134940
Required Age: ,0
Is Free: ,False
Detailed Description: ,Survive the Troll is a multiplayer game in which one Troll fights against up to 9 Elves.GameplayIn the Cloudy Arena you will be provided with two kinds of gameplay:The Troll is playing solo against all the elves. His goal? To crush every Elf he sees. To do so he can upgrade his stats in his base the Troll Hut. He gets passive income using troll wards which allow him to teleport throughout the map. The Troll is hungry... Hungry for Elf meat!The Elf is playing with a bunch of other Elves up to a maximum of 9. In order to survive the Troll they will have to build a base with a House a Wall and a Tower which attacks the Troll when it's close. Yet their goal is not to stay in their base forever in order to continue expanding their income they will have to cooperate in order to get gifts that contain essential resources or troll wards! In the end they may even take down the Troll ... ]CustomizationYou can customize your look with a system of skins that you can setup and buy in the Market on the main menu.You can only gain Wcoins (which are used to buy skins) by playing the game ! This game is thought to be a &quot;chill&quot; game so there are no ranks and ranking system.
About the Game: ,Survive the Troll is a multiplayer game in which one Troll fights against up to 9 Elves.GameplayIn the Cloudy Arena you will be provided with two kinds of gameplay:The Troll is playing solo against all the elves. His goal? To crush every Elf he sees. To do so he can upgrade his stats in his base the Troll Hut. He gets passive income using troll wards which allow him to teleport throughout the map. The Troll is hungry... Hungry for Elf meat!The Elf is playing with a bunch of other Elves up to a maximum of 9. In order to survive the Troll they will have to build a base with a House a Wall and a Tower which attacks the Troll when it's close. Yet their goal is not to stay in their base forever in order to continue expanding their income they will have to cooperate in order to get gifts that contain essential resources or troll wards! In the end they may even take down the Troll ... ]CustomizationYou can customize your look with a system of skins that you can setup and buy in the Market on the main menu.You can only gain Wcoins (which are used to buy skins) by playing the game ! This game is thought to be a &quot;chill&quot; game so there are no ranks and ranking system.
Short Description: ,Survive the Troll is a &quot;Chill&quot; Real Time Strategy game in which you play as a Troll a charismatic Hero you can upgrade in your base or as an Elf a builder which is common food for the Troll. Cooperate or destroy. You choose.
Supported Languages: ,English<strong>*</strong>, French<strong>*</strong><br><strong>*</strong>languages with full audio support
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/header.jpg?t=1666127718
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/capsule_231x87.jpg?t=1666127718
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/capsule_184x69.jpg?t=1666127718
Website: ,N/A
PC Minimum Requirements: ,Minimum:OS : Windows 7 Windows 8.1 Windows 10 Windows 11Processor: Intel Core i3 2.4 Ghz or equivalentMemory: 2 GB RAMGraphics: Nvidia Geforce GT 240 or equivalent minimum 512MB VRAMDirectX: Version 11Network: Broadband Internet connectionStorage: 2 GB available space
PC Maximum Requirements: ,Recommended:OS: Windows 10Processor: Intel Core i3 2.4 GhzMemory: 4 GB RAMGraphics: Nvidia Geforce GT 640DirectX: Version 11Storage: 2 GB available space
Developers: ,Dirty Beast After The Toad
Publishers: ,Dirty Beast After The Toad
Price Currency: ,USD
Price Initial: ,499
Price Final: ,499
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,$4.99
Packages: ,763701
Package Group Name: ,default
Package Group Title: ,Buy Survive The Troll
Package Group Description: ,
Package Group Selection Text: ,Select a purchase option
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,True
Linux: ,False
Metacritic: N/A
Categories: ,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Stats,Family Sharing,
Genres: ,Casual,Indie,Strategy,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/ss_47c50b7ac000fd7dcd61385328ca8ac1cc54097d.600x338.jpg?t=1666127718
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/ss_47c50b7ac000fd7dcd61385328ca8ac1cc54097d.1920x1080.jpg?t=1666127718
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/ss_c197a03f9ab89a26204612f2b60ad3573ef4d4fa.600x338.jpg?t=1666127718
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/ss_c197a03f9ab89a26204612f2b60ad3573ef4d4fa.1920x1080.jpg?t=1666127718
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/ss_313bf43a4ade998df6e7466dcab0b104b4c399c1.600x338.jpg?t=1666127718
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/ss_313bf43a4ade998df6e7466dcab0b104b4c399c1.1920x1080.jpg?t=1666127718
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/ss_ce60c13fdf67d26949315aa8a69d506fe5329d80.600x338.jpg?t=1666127718
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/ss_ce60c13fdf67d26949315aa8a69d506fe5329d80.1920x1080.jpg?t=1666127718
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/ss_9c8a013a0d3d6c261f4915b4891dfcbcf3e444ef.600x338.jpg?t=1666127718
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134940/ss_9c8a013a0d3d6c261f4915b4891dfcbcf3e444ef.1920x1080.jpg?t=1666127718

