Type: ,game
Name: ,Tides of Time
Steam AppID: ,2134270
Required Age: ,0
Is Free: ,True
Detailed Description: ,WELCOME TO THE LOOPYou wake up passed out beside a hut. As afterimage of bright white light fades from view a warrior in a grotesque mask approaches and greets you like an old friend. Faint familiar memory begins to flood back as you realize something is very wrong...Tides of Time is a 3rd person narrative action game. Missing your memory explore the island you call home and rediscover it's inhabitants what horrific fate has befallen the island and defend your right to exist in this place. Using your words and your blade get to know your fellow islanders and discover the mystery of the loop!Engage In CombatMany inhabitants of the island are dangerous but all have a story to uncover if you can withstand them long enough to learn it.Explore the IslandMany secrets lurk in ancient forgotten places waiting to be found before it's too late.Repeat the LoopThere is no escape in death. Will you unravel the mysteries of the island or will you be lost to infinity...
About the Game: ,WELCOME TO THE LOOPYou wake up passed out beside a hut. As afterimage of bright white light fades from view a warrior in a grotesque mask approaches and greets you like an old friend. Faint familiar memory begins to flood back as you realize something is very wrong...Tides of Time is a 3rd person narrative action game. Missing your memory explore the island you call home and rediscover it's inhabitants what horrific fate has befallen the island and defend your right to exist in this place. Using your words and your blade get to know your fellow islanders and discover the mystery of the loop!Engage In CombatMany inhabitants of the island are dangerous but all have a story to uncover if you can withstand them long enough to learn it.Explore the IslandMany secrets lurk in ancient forgotten places waiting to be found before it's too late.Repeat the LoopThere is no escape in death. Will you unravel the mysteries of the island or will you be lost to infinity...
Short Description: ,Tides of Time is a 3rd person narrative action game. Explore the island you call home rediscover its inhabitants and reveal the horrific fate that has befallen the island. Using your words and your blade get to know your fellow islanders and discover the mystery of the loop!
Supported Languages: ,English<strong>*</strong><br><strong>*</strong>languages with full audio support
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134270/header.jpg?t=1662794787
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134270/capsule_231x87.jpg?t=1662794787
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134270/capsule_184x69.jpg?t=1662794787
Website: ,https://sites.google.com/view/tides-of-time/home?authuser=2
PC Minimum Requirements: ,Minimum:Requires a 64-bit processor and operating systemOS: Windows 10+Processor: Intel i5 or equivalentMemory: 2 GB RAMGraphics: NVIDIA GTX 960Storage: 2 GB available space
PC Maximum Requirements: ,Recommended:Requires a 64-bit processor and operating systemOS: Windows 10+Processor: Intel i5 or equivalentMemory: 2 GB RAMGraphics: NVIDIA GTX 960Storage: 2 GB available space
Developers: ,Team Tsunami
Publishers: ,Ly Phung
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,Partial Controller Support,
Genres: ,Action,Adventure,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134270/ss_482496debd044631d0f2aea538bb0a7381b2ee7c.600x338.jpg?t=1662794787
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134270/ss_482496debd044631d0f2aea538bb0a7381b2ee7c.1920x1080.jpg?t=1662794787
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134270/ss_594e2ce24801817772e3e8e7fb71729cf8034baa.600x338.jpg?t=1662794787
