Type: ,game
Name: ,Warrior
Steam AppID: ,2134800
Required Age: ,0
Is Free: ,False
Detailed Description: ,Warrior is a 2.5D Platform Action Adventure game set in a dark fantasy world. The player is cast a the ultimate warrior fighting to restore the kingdom and claim his throne.  In this game you will fight the evil monsters and minions of the Dark Lord. Explore a multitude of dungeons caverns and castles. Collect much loot and treasure for your quest.  As you embark on your journey you will develop your skills to mastery so that you can withstand the ever increasing challenges and most vicious Boss Battles. Unlock new paths as you venture forward finding secret keys. Challenge the Dark Lord to an ultimate dual - Victory shall restore the kingdom and grant you the throne as yours. Replay the game with greater difficulties and setting your goals for higher scores.
About the Game: ,Warrior is a 2.5D Platform Action Adventure game set in a dark fantasy world. The player is cast a the ultimate warrior fighting to restore the kingdom and claim his throne.  In this game you will fight the evil monsters and minions of the Dark Lord. Explore a multitude of dungeons caverns and castles. Collect much loot and treasure for your quest.  As you embark on your journey you will develop your skills to mastery so that you can withstand the ever increasing challenges and most vicious Boss Battles. Unlock new paths as you venture forward finding secret keys. Challenge the Dark Lord to an ultimate dual - Victory shall restore the kingdom and grant you the throne as yours. Replay the game with greater difficulties and setting your goals for higher scores.
Short Description: ,Warrior is a 2.5D Platform Action Adventure game set in a dark fantasy world.
Supported Languages: ,English
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/header.jpg?t=1662544803
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/capsule_231x87.jpg?t=1662544803
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/capsule_184x69.jpg?t=1662544803
Website: ,N/A
PC Minimum Requirements: ,Minimum:Requires a 64-bit processor and operating systemOS : Windows 7Processor: Intel Core i3-2100 | AMD FX-6300Memory: 4 GB RAM MB RAMGraphics: Radeon HD 7850 (2 GBNVIDIA GeForce GTX 660 (2 GB) | AMD Radeon HD 7850 (2 GB)DirectX: Version 9.0Storage: 40 GB available spaceSound Card: DirectX Compatible
PC Maximum Requirements: ,Recommended:Requires a 64-bit processor and operating systemOS : Windows 7Processor: Intel Core i5-2500K | AMD FX-8350Memory: 8 GB RAM MB RAMGraphics: NVIDIA GeForce GTX 960 (2 GB) | AMD Radeon RX 480DirectX: Version 9.0Storage: 40 GB available spaceSound Card: DirectX Compatible
Developers: ,Kfir Merlaub Art
Publishers: ,Kfir Merlaub Art
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,Full controller support,
Genres: ,Action,Adventure,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_f7c098cc140a09a5cbc8160ec259ddb28c728a33.600x338.jpg?t=1662544803
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_f7c098cc140a09a5cbc8160ec259ddb28c728a33.1920x1080.jpg?t=1662544803
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_61d51de23675aa0960d114f75ac4f9c5b81ae48c.600x338.jpg?t=1662544803
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_61d51de23675aa0960d114f75ac4f9c5b81ae48c.1920x1080.jpg?t=1662544803
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_94de954041d375542fcd0848f8bf12558d1a5e86.600x338.jpg?t=1662544803
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_94de954041d375542fcd0848f8bf12558d1a5e86.1920x1080.jpg?t=1662544803
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_1eb8021d6c87d986d6d4912833a4759399c5eba3.600x338.jpg?t=1662544803
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_1eb8021d6c87d986d6d4912833a4759399c5eba3.1920x1080.jpg?t=1662544803
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_d5503c2e086daf93099a1a2c8da6d24cf8bee16b.600x338.jpg?t=1662544803
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_d5503c2e086daf93099a1a2c8da6d24cf8bee16b.1920x1080.jpg?t=1662544803
Screenshot ID: ,5
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_64f6e578ab75bd79aa6c175aafc8616ce249ec61.600x338.jpg?t=1662544803
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_64f6e578ab75bd79aa6c175aafc8616ce249ec61.1920x1080.jpg?t=1662544803
Screenshot ID: ,6
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_ba332174e1078723cfa437c9cf979a09e8ec3709.600x338.jpg?t=1662544803
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_ba332174e1078723cfa437c9cf979a09e8ec3709.1920x1080.jpg?t=1662544803
Screenshot ID: ,7
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_97755046f002713d6df15847c2f69c5a16109987.600x338.jpg?t=1662544803
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134800/ss_97755046f002713d6df15847c2f69c5a16109987.1920x1080.jpg?t=1662544803

