Type: ,game
Name: ,牌师
Steam AppID: ,2134330
Required Age: ,0
Is Free: ,True
Detailed Description: ,牌师是一款在经典玩法上加以创新的rougelike战斗卡牌类游戏。你可以控制三位各怀绝技的牌师，在一座连接着7个异世界的魔塔里探险。你遇到的每个怪兽都可以被抓捕并提炼成拥有各种效果的卡牌。你需要尽可能多地收集、强化卡牌，打造属于自己的无敌卡组，提高在塔内的存活率，最终揭开魔塔的秘密。  我们与众不同的地方：  1、在玩卡牌游戏的时候因为费不够手里的卡打不出去是不是很难受？牌师没有费的设定，创新的游戏机制使得所有卡牌只要在手里，都可以打出！  2、怕白辛苦一场?辛苦打造的爽快卡组在一场游戏结束后全部消失，内心痛苦无比？牌师不会让你体会到这种痛苦。即使在塔里意外死亡，所有卡牌和强化效果都会被保存下来带入下一次探险，让你尽享满级杀入新手村的爽感。  3、缝合怪？在游玩牌师的时候，你可以体会到rougelike卡牌游戏的乐趣；用怪兽球抓捕怪兽的乐趣；绝（优）境（势）中抽取命运卡瞬（原）间（地）翻（爆）盘（炸）的快（憋）感（屈）；大起大落的炒股乐趣；绞尽脑汁打造无敌套路的乐趣等等。  4、比较浮躁没有耐心？这个还真的没办法TT。牌师没有令人作呕的强制引导教程，所有游戏机制都靠你自己慢慢摸索。
About the Game: ,牌师是一款在经典玩法上加以创新的rougelike战斗卡牌类游戏。你可以控制三位各怀绝技的牌师，在一座连接着7个异世界的魔塔里探险。你遇到的每个怪兽都可以被抓捕并提炼成拥有各种效果的卡牌。你需要尽可能多地收集、强化卡牌，打造属于自己的无敌卡组，提高在塔内的存活率，最终揭开魔塔的秘密。  我们与众不同的地方：  1、在玩卡牌游戏的时候因为费不够手里的卡打不出去是不是很难受？牌师没有费的设定，创新的游戏机制使得所有卡牌只要在手里，都可以打出！  2、怕白辛苦一场?辛苦打造的爽快卡组在一场游戏结束后全部消失，内心痛苦无比？牌师不会让你体会到这种痛苦。即使在塔里意外死亡，所有卡牌和强化效果都会被保存下来带入下一次探险，让你尽享满级杀入新手村的爽感。  3、缝合怪？在游玩牌师的时候，你可以体会到rougelike卡牌游戏的乐趣；用怪兽球抓捕怪兽的乐趣；绝（优）境（势）中抽取命运卡瞬（原）间（地）翻（爆）盘（炸）的快（憋）感（屈）；大起大落的炒股乐趣；绞尽脑汁打造无敌套路的乐趣等等。  4、比较浮躁没有耐心？这个还真的没办法TT。牌师没有令人作呕的强制引导教程，所有游戏机制都靠你自己慢慢摸索。
Short Description: ,打牌，抓怪，强化，轻松娱乐爬塔探索
Supported Languages: ,중국어 간체
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/header.jpg?t=1664186827
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/capsule_231x87.jpg?t=1664186827
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/capsule_184x69.jpg?t=1664186827
Website: ,N/A
PC Minimum Requirements: ,최소:64비트 프로세서와 운영 체제가 필요합니다운영 체제 : Windows 7 (SP1+) Windows 10 and Windows 11프로세서: 2 GHz Processor메모리: 2 GB RAM저장공간: 1 GB 사용 가능 공간
PC Maximum Requirements: ,권장:64비트 프로세서와 운영 체제가 필요합니다
Developers: ,caoyubonbon、yesele
Publishers: ,caoyubonbon、yesele
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,True
Linux: ,False
Metacritic: N/A
Categories: ,싱글 플레이어,
Genres: ,어드벤처,무료,전략,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/ss_e4b7b66c5778af4a093e079e4342f5c557119943.600x338.jpg?t=1664186827
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/ss_e4b7b66c5778af4a093e079e4342f5c557119943.1920x1080.jpg?t=1664186827
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/ss_c3670f994114eea7830fabba386206d0314612cc.600x338.jpg?t=1664186827
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/ss_c3670f994114eea7830fabba386206d0314612cc.1920x1080.jpg?t=1664186827
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/ss_143a8c2849f6af491b6a1c7db997aa150ff43442.600x338.jpg?t=1664186827
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/ss_143a8c2849f6af491b6a1c7db997aa150ff43442.1920x1080.jpg?t=1664186827
Screenshot ID: ,3
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/ss_a3b23e72cdfe8b94786dbc2893991e34d0abbd71.600x338.jpg?t=1664186827
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/ss_a3b23e72cdfe8b94786dbc2893991e34d0abbd71.1920x1080.jpg?t=1664186827
Screenshot ID: ,4
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/ss_345c3e9131c70bb7ec7e868536c0bf704afb3c53.600x338.jpg?t=1664186827
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134330/ss_345c3e9131c70bb7ec7e868536c0bf704afb3c53.1920x1080.jpg?t=1664186827

